trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.5	userbased	cosine	adjweighted	null	null	0.7934880595968089	7.591429
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.5	userbased	pearson	weighted	null	null	0.834468614567445	6.25491
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.5	userbased	pearson	adjusted	null	null	0.8110381637548343	6.298917
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.5	userbased	pearson	adjweighted	null	null	0.8131049895727424	6.258404
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.6	userbased	cosine	weighted	null	null	0.8163146799935811	7.599537
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.6	userbased	cosine	adjusted	null	null	0.7932684577448768	7.482347
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.6	userbased	cosine	adjweighted	null	null	0.7937454005225076	7.559893
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.6	userbased	pearson	weighted	null	null	0.837859655829091	6.163757
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.6	userbased	pearson	adjusted	null	null	0.8154858499365631	6.103953
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.6	userbased	pearson	adjweighted	null	null	0.8167137247957371	6.214338
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.7	userbased	cosine	weighted	null	null	0.8166327673071112	7.505795
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.7	userbased	cosine	adjusted	null	null	0.793744896126178	7.514713
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.7	userbased	cosine	adjweighted	null	null	0.794232914331127	7.578748
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.7	userbased	pearson	weighted	null	null	0.8413609682759366	6.105313
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.7	userbased	pearson	adjusted	null	null	0.819305494701933	6.094707
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.7	userbased	pearson	adjweighted	null	null	0.8200158708409667	6.073158
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.8	userbased	cosine	weighted	null	null	0.819103617760438	7.438097
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.8	userbased	cosine	adjusted	null	null	0.7954440946810784	7.385695
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.8	userbased	cosine	adjweighted	null	null	0.7958535884086977	7.331256
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.8	userbased	pearson	weighted	null	null	0.8470912039813184	6.010357
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.8	userbased	pearson	adjusted	null	null	0.8255601863527473	6.073384
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.8	userbased	pearson	adjweighted	null	null	0.825884522140134	6.08888
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.9	userbased	cosine	weighted	null	null	0.8260899669652866	7.113385
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.9	userbased	cosine	adjusted	null	null	0.8004500318194402	7.140595
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.9	userbased	cosine	adjweighted	null	null	0.8006564205636332	7.055081
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.9	userbased	pearson	weighted	null	null	0.8520940997454903	5.917086
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.9	userbased	pearson	adjusted	null	null	0.8322924531460549	5.869662
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	0.9	userbased	pearson	adjweighted	null	null	0.8324406174616208	5.91547
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	1.0	userbased	cosine	weighted	null	null	0.872121148119671	5.96996
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	1.0	userbased	cosine	adjusted	null	null	0.851353705946198	6.091937
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	1.0	userbased	cosine	adjweighted	null	null	0.851353705946198	5.996341
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	1.0	userbased	pearson	weighted	null	null	0.8802841518283145	5.578397
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	1.0	userbased	pearson	adjusted	null	null	0.8601991372562963	5.624535
user_artists_n.data__1_1.base	user_artists_n.data__1_1.test	threshold	null	1.0	userbased	pearson	adjweighted	null	null	0.8601991372562963	5.587256
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1	null	userbased	cosine	weighted	null	null	0.8032721858249839	6.282475
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1	null	userbased	cosine	adjusted	null	null	0.8014747693925031	6.265239
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1	null	userbased	cosine	adjweighted	null	null	0.8014747693925031	6.441489
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1	null	userbased	pearson	weighted	null	null	0.8027708055368566	6.388666
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1	null	userbased	pearson	adjusted	null	null	0.8017044252556308	6.36927
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1	null	userbased	pearson	adjweighted	null	null	0.8017044252556308	6.575673
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	2	null	userbased	cosine	weighted	null	null	0.8115097308631236	6.269664
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	2	null	userbased	cosine	adjusted	null	null	0.8089218440605761	6.275818
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	2	null	userbased	cosine	adjweighted	null	null	0.8089218440605761	6.252066
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	2	null	userbased	pearson	weighted	null	null	0.8148426350739298	6.402479
